Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,subject_id
SRR6000886,AMPLICON,302,9133990,Thomas F. Gajewski,PRJNA399742,SAMN07599740,"Microbe\, viral or environmental",6214988,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156413,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_21,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_21,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P21
SRR6000887,AMPLICON,302,6369482,Thomas F. Gajewski,PRJNA399742,SAMN07599741,"Microbe\, viral or environmental",4370936,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156412,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_22,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_22,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P22
SRR6000888,AMPLICON,302,9281668,Thomas F. Gajewski,PRJNA399742,SAMN07599748,"Microbe\, viral or environmental",6236210,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156411,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_29,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_29,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P29
SRR6000889,AMPLICON,302,8647166,Thomas F. Gajewski,PRJNA399742,SAMN07599749,"Microbe\, viral or environmental",5820651,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156410,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_30,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_30,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P30
SRR6000890,WGS,301,5846414930,Thomas F. Gajewski,PRJNA399742,SAMN07599733,"Microbe\, viral or environmental",2527300624,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156409,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_14,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_14,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P14
SRR6000891,WGS,301,7038691874,Thomas F. Gajewski,PRJNA399742,SAMN07599750,"Microbe\, viral or environmental",2811408341,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156408,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_31,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_31,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P31
SRR6000892,WGS,300,15491805343,Thomas F. Gajewski,PRJNA399742,SAMN07599754,"Microbe\, viral or environmental",6629293333,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156407,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_35,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_35,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P35
SRR6000893,WGS,301,6270457293,Thomas F. Gajewski,PRJNA399742,SAMN07599721,"Microbe\, viral or environmental",2493286877,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156420,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_02,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_02,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P02
SRR6000894,WGS,301,11057361847,Thomas F. Gajewski,PRJNA399742,SAMN07599720,"Microbe\, viral or environmental",4732498222,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156406,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_01,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_01,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P01
SRR6000895,WGS,301,14672373325,Thomas F. Gajewski,PRJNA399742,SAMN07599759,"Microbe\, viral or environmental",6208224999,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156405,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_40,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_40,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P40
SRR6000896,WGS,300,15518882117,Thomas F. Gajewski,PRJNA399742,SAMN07599737,"Microbe\, viral or environmental",6544262252,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156404,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_18,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_18,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P18
SRR6000897,AMPLICON,302,8710888,Thomas F. Gajewski,PRJNA399742,SAMN07599759,"Microbe\, viral or environmental",5916893,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156402,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_40,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_40,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P40
SRR6000898,AMPLICON,302,4278132,Thomas F. Gajewski,PRJNA399742,SAMN07599758,"Microbe\, viral or environmental",2820088,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156401,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_39,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_39,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P39
SRR6000899,WGS,300,15520345314,Thomas F. Gajewski,PRJNA399742,SAMN07599722,"Microbe\, viral or environmental",6137536019,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156400,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_03,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_03,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P03
SRR6000900,WGS,300,8491250548,Thomas F. Gajewski,PRJNA399742,SAMN07599746,"Microbe\, viral or environmental",3364556843,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156403,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_27,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_27,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P27
SRR6000901,WGS,300,16287504405,Thomas F. Gajewski,PRJNA399742,SAMN07599742,"Microbe\, viral or environmental",7023567804,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156399,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_23,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_23,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P23
SRR6000902,WGS,301,8892810237,Thomas F. Gajewski,PRJNA399742,SAMN07599741,"Microbe\, viral or environmental",3774049232,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156398,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_22,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_22,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P22
SRR6000903,WGS,300,7173857143,Thomas F. Gajewski,PRJNA399742,SAMN07599739,"Microbe\, viral or environmental",3044573375,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156397,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_20,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_20,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P20
SRR6000904,AMPLICON,302,8497978,Thomas F. Gajewski,PRJNA399742,SAMN07599729,"Microbe\, viral or environmental",5695680,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156395,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_10,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_10,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P10
SRR6000905,WGS,300,22008608876,Thomas F. Gajewski,PRJNA399742,SAMN07599740,"Microbe\, viral or environmental",9310792118,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156394,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_21,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_21,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P21
SRR6000906,WGS,300,11804850010,Thomas F. Gajewski,PRJNA399742,SAMN07599743,"Microbe\, viral or environmental",4751458373,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156393,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_24,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_24,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P24
SRR6000907,WGS,300,10259095184,Thomas F. Gajewski,PRJNA399742,SAMN07599749,"Microbe\, viral or environmental",4340867364,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156392,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_30,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_30,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P30
SRR6000908,WGS,301,8206528512,Thomas F. Gajewski,PRJNA399742,SAMN07599752,"Microbe\, viral or environmental",3258945076,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156391,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_33,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_33,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P33
SRR6000909,WGS,300,13122918786,Thomas F. Gajewski,PRJNA399742,SAMN07599751,"Microbe\, viral or environmental",5559602322,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156390,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_32,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_32,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P32
SRR6000910,WGS,301,10792788253,Thomas F. Gajewski,PRJNA399742,SAMN07599745,"Microbe\, viral or environmental",4567802365,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156389,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_26,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_26,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P26
SRR6000911,WGS,300,9640706749,Thomas F. Gajewski,PRJNA399742,SAMN07599753,"Microbe\, viral or environmental",4149519535,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156388,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_34,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_34,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P34
SRR6000912,WGS,297,11831144024,Thomas F. Gajewski,PRJNA399742,SAMN07599756,"Microbe\, viral or environmental",5074812352,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156387,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_37,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_37,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P37
SRR6000913,AMPLICON,302,7527350,Thomas F. Gajewski,PRJNA399742,SAMN07599755,"Microbe\, viral or environmental",5053637,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156385,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_36,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_36,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P36
SRR6000914,AMPLICON,302,9271098,Thomas F. Gajewski,PRJNA399742,SAMN07599754,"Microbe\, viral or environmental",6215262,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156384,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_35,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_35,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P35
SRR6000915,AMPLICON,302,6470954,Thomas F. Gajewski,PRJNA399742,SAMN07599757,"Microbe\, viral or environmental",4272568,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156383,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_38,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_38,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P38
SRR6000916,AMPLICON,302,9491256,Thomas F. Gajewski,PRJNA399742,SAMN07599756,"Microbe\, viral or environmental",6462250,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156382,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_37,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_37,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P37
SRR6000917,AMPLICON,302,6258950,Thomas F. Gajewski,PRJNA399742,SAMN07599751,"Microbe\, viral or environmental",4167585,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156381,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_32,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_32,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P32
SRR6000918,AMPLICON,302,7803076,Thomas F. Gajewski,PRJNA399742,SAMN07599750,"Microbe\, viral or environmental",5218357,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156380,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_31,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_31,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P31
SRR6000919,AMPLICON,302,7628520,Thomas F. Gajewski,PRJNA399742,SAMN07599739,"Microbe\, viral or environmental",5231681,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156379,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_20,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_20,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P20
